Substance,ISO,Country,NUTS 2,NUTS 2 desc,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022
GWP_100_AR5_GHG,AUT,Austria,AT,,405.2401064902,433.14571021545,425.3188643322,442.77811321523,442.84192142471,447.28007113029,490.7443063431,469.39417870206,503.8854725942,483.17635937602,473.91910376378,480.05841684956,484.06857440007,493.75432840952,504.53957345998,512.46962886467,501.95713280296,488.14632696478,466.1825879504,441.61691952559,441.98096375591,421.69681903053,401.28491780206,406.83895582672,394.59390569218,388.40438292499,389.58313849254,384.64120493324,378.7897056737,380.56954493142,366.00250214056,382.74342946892,433.37723874352
GWP_100_AR5_GHG,AUT,Austria,AT11,Burgenland,1998.7287350486,2153.6584261657,2117.3272555969,2152.8673385173,2154.980735085,2207.9097388598,2354.0672710849,2264.8503479263,2357.4932033884,2299.3305872022,2227.7581434058,2390.1174314467,2449.2893182435,2608.5336499036,2652.4730870462,2662.7294800497,2591.4822225442,2530.6377795274,2450.4155300653,2354.410644432,2482.5848748686,2404.6958135036,2353.9914296267,2431.3121673358,2364.1038390637,2402.5284966386,2446.7632385254,2503.2479957147,2463.6118748283,2469.1229765203,2293.2652013802,2368.4230051743,2264.1593390618
GWP_100_AR5_GHG,AUT,Austria,AT12,Niederösterreich,20728.71612494,21856.463468663,20287.009993444,20545.194619349,20749.391134757,21180.312395054,21835.599593359,21576.18224501,21507.067268854,20514.119051407,20352.807146703,21774.946630611,22366.738704043,24613.596084669,24941.730380218,25218.154497813,24785.767078319,24402.918160081,23691.34900045,21274.177001331,23069.369524623,22810.620893166,21641.981608878,21760.146070796,20558.340311276,20759.00605666,19728.389601894,20408.314782014,20156.393347475,20572.221500069,18885.091547219,19527.682564405,18584.859276409
GWP_100_AR5_GHG,AUT,Austria,AT13,Wien,4704.8812997783,5060.8199674478,4775.0467647012,4674.9074438145,4593.3677994641,4749.2751210563,5232.8165652322,4784.8158226093,4742.7641421032,4685.7346253672,4241.7591085993,5359.1769452662,5344.2487810143,5530.3787215885,5361.6044562974,5552.3650994071,5229.3550925557,4732.1529725149,4699.9767193175,5770.1363534557,6056.2882286445,5516.0009562744,4846.2051553225,4556.2520624183,4119.0022788701,4513.4649027619,4723.3214974713,5198.6035735343,4797.9629443936,4940.9844732556,4597.4891272391,4752.5058052857,4363.1013689897
GWP_100_AR5_GHG,AUT,Austria,AT21,Kärnten,5264.4415399891,5578.7804194856,5499.0927387113,5495.1541786042,5402.5586843183,5424.8491887249,6184.8934947832,6147.7550723596,6160.9975727131,6023.7446538442,6101.2763498046,6575.9565143778,6732.9088890331,7176.124901313,7199.9188018193,7099.7596280613,6959.1748630227,6894.5905636566,6628.760158218,6295.3360880545,6579.0669493168,6482.3163400465,5778.9636091025,5962.8987457244,5819.1390297142,5863.2356495554,5956.1645507174,6093.2503907962,6068.2486049281,6055.6831879165,5670.2187647685,5851.4776847823,5608.3000114837
GWP_100_AR5_GHG,AUT,Austria,AT22,Steiermark,17140.681433069,17957.749697503,16185.746511101,15886.352508861,16073.380534863,16571.885043193,17201.691897339,17330.472780829,17110.995323363,16719.92905125,16690.260595357,17316.755316019,17268.434129404,18385.697397836,18115.978096629,18089.94489612,17629.479202636,16269.496977822,15988.627190911,14573.265664713,15633.647455956,15488.700030248,15813.522218126,16001.488013167,15172.662349579,15281.951928731,15881.712124961,16439.096828551,15928.708418949,16124.637545488,14705.235989524,15263.546566719,14381.879815465
GWP_100_AR5_GHG,AUT,Austria,AT31,Oberösterreich,21143.310716699,21811.789738986,20232.705808012,20249.784476755,20555.63457164,22014.226185141,22645.719743406,22920.263802813,22953.996053883,22807.974193351,23815.386734308,23964.413623915,24541.50308192,25542.590069095,25234.442154716,25116.038276384,24364.488776187,24007.373815062,24961.214518616,21715.051890314,23963.224291859,23739.644613939,22969.323242158,23093.71688465,22522.788252095,22467.466547067,23020.688412632,23335.417603518,21752.056465303,22521.393547143,21176.900386991,22131.586844624,20690.487832963
GWP_100_AR5_GHG,AUT,Austria,AT32,Salzburg,3949.8954424598,4196.2149323,4091.7028584816,4099.9818268455,4035.6725120077,4069.9103715003,4285.0804746136,4267.0805034327,4348.5762312962,4217.7321854918,4173.0712650832,4650.5614193044,4737.225932596,4959.7168454272,4963.4495850516,4961.6682818284,4845.0613343602,4713.9590289252,4680.1545937345,4417.5851367143,4529.281571384,4372.8771329719,4271.0805448513,4347.2287945367,4198.3563659413,4306.1590822035,4412.8374827376,4496.5985824795,4443.0759878101,4442.2240017235,4161.9709885381,4292.2259684087,4084.0378217819
GWP_100_AR5_GHG,AUT,Austria,AT33,Tirol,4279.9249270977,4582.1116855188,4506.2663667471,4528.3605565951,4457.0565726684,4574.7673172655,4848.557279481,4642.7085410514,4827.9963069612,4753.6105641917,4643.4761761697,4962.1091253807,5042.7952501473,5311.2207510123,5346.4131093843,5328.9911141815,5192.9708616267,5035.0007937123,4954.1721762519,4737.128760151,4897.3326083289,4715.4471197913,4646.3475452771,4793.6658898043,4616.3271664179,4717.8291543297,4804.4987697556,4898.692087429,4807.9957785275,4826.4029618402,4518.2943527746,4653.7441895066,4440.1921146865
GWP_100_AR5_GHG,AUT,Austria,AT34,Vorarlberg,1892.212775744,2036.2426522272,2001.7930914482,2019.3583737817,1989.3092266161,2061.9766334799,2176.2400412749,2067.743315519,2148.0238955517,2113.0399871397,2035.8519852107,2181.0352913025,2201.0734748297,2326.8217479553,2343.9681365769,2335.6944626125,2278.5708294504,2186.7514823247,2153.164299468,2056.3097820755,2154.3138565136,2055.7309622662,2020.0027481979,2066.0409750206,1980.6130777937,2024.0797704525,2055.8621050384,2116.5420879098,2050.6136359454,2062.2685135427,1931.4480988356,1994.6582175323,1892.9096487103
GWP_100_AR5_GHG,BEL,Belgium,BE,,1122.8098119763,1131.1675936871,1214.4572609092,1239.129848159,1350.2752583705,1414.2582253102,1461.999464258,1536.2221953783,1579.7604074399,1475.065517324,1378.892249052,1342.4102515122,1218.8469868593,1321.9258160515,1209.6926837423,1132.3012223409,856.15262275859,861.82093666588,852.02055593175,758.89879902606,843.67753020128,792.97468874016,763.19867396571,771.76346095077,733.60406079546,731.36036689402,730.61712629551,730.7079943254,705.10658722619,734.5199540271,799.92698898545,819.99045539716,842.39282566429
GWP_100_AR5_GHG,BEL,Belgium,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,3726.4120338556,4041.0591861274,4049.1941908418,3948.1233756583,3946.6912363535,4009.044555984,4445.5412784445,4257.8836179754,4344.4530605315,4169.5069381999,3991.3322714723,4212.7517812152,3978.3581978391,4230.8602721313,4248.4932856275,4198.7926745346,3957.1768919114,3636.0774657667,4092.5761819991,3883.3587695874,4082.8884454653,3538.8488474806,3586.1952339874,3835.2976290396,3271.0721103832,3581.3228630252,3576.7008084009,3516.4714472624,3532.2092050046,3447.4464415943,3375.8167277193,3551.5630542392,3257.8533323573
GWP_100_AR5_GHG,BEL,Belgium,BE21,Prov. Antwerpen,23139.622683987,24817.230867307,24509.071933905,22023.062528927,22353.518056688,22014.311916198,23268.141581302,22758.392154549,22313.719384897,21389.769316029,21553.293355486,20806.249553867,20089.444704888,20643.916829641,20493.528240491,21419.781859329,21223.331661559,20977.565379122,21874.785707605,21461.999770143,21832.957945025,18834.401223183,19259.109155018,18919.042072476,18055.459185186,18795.80294181,18780.167001321,18785.465055915,19018.560743295,19324.053943677,17851.255896077,18637.29095454,17198.873565357
GWP_100_AR5_GHG,BEL,Belgium,BE22,Prov. Limburg (BE),10070.320783767,10403.636120453,10294.068715424,9796.2292549781,10214.18395608,10237.738823843,10508.499869286,10071.44974913,10107.165128262,9388.0661514951,9491.4639499917,9648.4054693918,9179.7629725243,9352.7283426653,9025.2080072877,8835.3088257368,8350.1364827318,8195.6747437077,8417.9850298935,7701.4721603562,8012.2318127421,8577.776698191,8496.3624288204,8678.3620253358,8750.4592866063,9086.9909311744,7540.4056862386,7139.9819677256,7155.6505176565,7119.4412935181,6669.8915523848,6989.0907852301,6481.6675677367
GWP_100_AR5_GHG,BEL,Belgium,BE23,Prov. Oost-Vlaanderen,27270.043190753,27328.585743076,25855.058396252,24773.62493419,26904.801771477,26161.767093367,26741.008261966,26628.839396006,29777.407455262,29704.376206498,30307.502816403,30545.720046232,25963.168025736,27364.791029577,26533.791627706,24607.891360693,24055.963632058,23429.268305434,23984.473083992,20223.777448759,24335.909481428,22351.102183802,21346.365557694,22306.630701907,21447.62817108,21815.886447103,22327.720211013,22101.670335839,22121.739874014,21756.272790084,20136.724997398,21041.189909976,19888.706582491
GWP_100_AR5_GHG,BEL,Belgium,BE24,Prov. Vlaams-Brabant,7904.909954626,8218.2944923368,8029.6146123288,11731.227488067,10524.429338955,11043.002525326,11697.965632318,11527.858395748,10644.300252744,10725.204904314,10521.28022482,11102.1981418,11048.12637175,11488.885650395,12021.284281001,11401.889920614,11109.140965227,10851.642229851,10714.295299245,10502.974020648,10537.135891825,9254.5850231881,9227.9268019834,9248.8444941816,8476.450089851,9030.4056678642,8976.9206939591,8833.1344511637,8840.5901695768,8770.5314684808,8162.1081659747,8592.676921124,7953.8046731687
GWP_100_AR5_GHG,BEL,Belgium,BE25,Prov. West-Vlaanderen,14383.383010743,15043.527887352,15041.857212611,14635.807099382,15269.629623471,15420.444533461,15929.027761117,15445.698018623,17773.366810088,17234.408691669,16968.881164603,16739.523296874,16310.1103744,16543.096571195,16669.300987522,16245.107646046,15631.585304199,15274.965847158,14953.934906722,14538.728844524,14669.85693636,13518.091999987,13668.760537619,13199.459328332,11761.742384798,12221.887056486,12184.754134347,11912.346811329,11960.58778666,11900.700768249,11306.481302369,11744.402108261,10986.985343361
GWP_100_AR5_GHG,BEL,Belgium,BE31,Prov. Brabant Wallon,2701.5516307021,2837.7058306832,2898.7057623297,2914.1173100163,2988.3438320193,3057.7111054532,3248.1543166807,3137.98598033,3155.9749101953,3121.6263082729,3030.5910547535,3122.1953024993,3000.4669368385,3111.3370230445,3166.2431688579,3111.3954433781,3061.5783557237,2992.2004325814,3166.4946217906,3044.5923791124,3098.0584639012,2863.7320053208,2894.2512368603,2951.2698898889,2730.965722697,2891.3766493579,2860.3159417174,2787.2641685702,2804.5684039461,2781.2778475432,2577.8810451004,2721.3808871265,2537.8495802763
GWP_100_AR5_GHG,BEL,Belgium,BE32,Prov. Hainaut,27166.332381957,27118.951858221,26854.339812603,26543.683380526,28186.959438519,28606.899000054,29280.42226231,28262.635419754,28622.50806139,27717.881649127,28131.798955796,29084.250084015,28392.427637472,28052.713469077,27191.423414307,27104.057136151,26625.845706576,26350.207389526,25896.575299178,25680.983094785,28071.154838927,26737.151375925,26465.883090842,26615.717317589,25959.017688296,26365.246157825,26303.188210212,25700.441693484,25796.601821582,25591.837872835,24503.768452645,25355.507313983,23632.39236713
GWP_100_AR5_GHG,BEL,Belgium,BE33,Prov. Liège,14744.058203856,15053.474783353,14872.737612723,14057.399627547,17089.535314411,17614.194325994,17950.019267021,17425.917324686,16423.24795599,15987.654590507,16177.032341209,15239.433484752,15145.420819689,15530.74475092,15648.214383145,15295.157190289,15024.117666258,14738.837375843,14764.845632771,14178.282655718,14727.769441567,14179.59544719,13139.875859069,13351.870144375,11945.895206841,12417.552198367,12300.303401122,11988.308959585,12155.864034413,12288.524579226,11490.958172171,11976.827492016,11348.955997648
GWP_100_AR5_GHG,BEL,Belgium,BE34,Prov. Luxembourg (BE),3888.5912285629,3968.5892837708,4084.8230266118,4132.3707635654,4291.8401922989,4331.1399612891,4500.6328331346,4432.5211731468,4458.847894794,4455.0901466297,4444.613510841,4607.3291451581,4499.3382774689,4684.2201674633,4844.3121164464,4773.1525086861,4629.7458120389,4586.8965417765,4663.6759874236,4494.7822902714,4556.5527504401,4239.9654477033,4239.8901490092,4293.8985757443,4120.7394567872,4327.0400514924,4296.0994447488,4200.0669460992,4203.0296224653,4186.0616185154,3803.9215255702,4047.4544255849,3804.9316913429
GWP_100_AR5_GHG,BEL,Belgium,BE35,Prov. Namur,6685.3248718836,6822.4702670367,6908.5609516566,6825.2128700865,7116.576990681,7216.7505245173,7369.5475391755,7208.3771068446,7217.1212172304,7167.061173019,7807.4134867791,7545.3487825491,7396.8210480332,7647.5380699273,7826.9370179198,7710.4594886298,7729.9348224628,7672.965723407,7797.253705377,7086.6141454332,7320.5523565419,6874.6739664551,6677.451897451,6698.7018300986,6466.0930117988,6732.0693792118,6707.359303139,6495.5306678346,6605.7708365029,6649.2912390076,6114.5225773942,6403.0198866805,6097.7897035256
