"","year","codel2_2016","TO_5","TO_6","TO_MULTI","TO_10","TO_8","TO_TA","TO_1","TO_4","TO_9","TO_11","TO_3","TO_7","TO_2","TO_12","TO_13"
"1",2016,"AD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2016,"AT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2016,"AT11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2016,"AT12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2016,"AT13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2016,"AT21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2016,"AT22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2016,"AT31",0,0,198210,0,0,239404,0,0,0,193314,2250000,0,0,0,0
"9",2016,"AT32",0,81928,0,0,0,0,9954,0,0,0,0,0,0,0,0
"10",2016,"AT33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2016,"AT34",0,0,0,0,0,0,0,0,0,89348,0,0,0,0,0
"12",2016,"BE1",0,0,0,0,17300715,504673,0,0,3865592,0,0,0,0,0,0
"13",2016,"BE2",0,0,915593,730172,393738,425983,2238708,0,2555059,0,644626,0,0,0,0
"14",2016,"BE21",0,0,0,0,0,0,0,26667,0,0,0,0,0,0,0
"15",2016,"BE22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2016,"BE24",0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0
"17",2016,"BE25",0,0,0,0,0,0,328464,0,0,0,0,0,0,0,0
"18",2016,"BE3",0,0,0,0,11653274,0,0,0,0,0,0,0,0,0,0
"19",2016,"BE31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2016,"BE32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2016,"BE33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2016,"BE34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2016,"BE35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2016,"BG",11657,31549276,160182662,4222174,7922762,13333713,1.5e+07,40593,47969912,3131253,211053226,71306468,0,0,0
"25",2016,"BG31",0,0,0,0,0,121102,0,0,0,0,0,0,0,0,0
"26",2016,"BG32",0,0,0,0,0,117138,0,0,0,0,0,0,0,0,0
"27",2016,"BG33",0,0,0,0,0,147551,0,0,0,0,0,0,0,0,0
"28",2016,"BG34",0,0,0,0,0,130128,0,0,0,0,0,0,0,0,0
"29",2016,"BG41",0,0,0,0,0,89168,0,0,0,0,0,0,0,0,0
"30",2016,"BG42",0,0,0,0,0,166220,0,0,0,0,0,0,0,0,0
"31",2016,"CH04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2016,"CH05",0,0,69606,0,0,0,0,0,0,0,0,0,0,0,0
"33",2016,"CY",0,0,0,0,10418079,0,0,0,0,0,0,2744930,0,0,0
"34",2016,"CY00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2016,"CZ01",0,0,97166,0,5411057,25411935,0,0,5321,345852,0,7981026,0,0,0
"36",2016,"CZ02",0,95806,2427113,0,15492197,2349342,4649816,90808,33366,19060,249425,40589141,0,0,0
"37",2016,"CZ03",0,3254843,1170998,0,21022422,4731117,1050189,0,924178,24520,326438,36139033,0,0,0
"38",2016,"CZ04",31701,3029742,1081025,0,30479338,3750752,0,0,201396,16955,127975,5652666,0,0,0
"39",2016,"CZ05",0,2893890,2030012,197236,25536871,5313922,0,0,2620931,29996,1747827,24818834,0,0,0
"40",2016,"CZ06",0,2574681,1320026,0,32522587,4694773,750680,0,54805,432853,1055573,21235928,0,0,0
"41",2016,"CZ07",856450,1772824,1632385,0,41506144,3586818,0,0,2151956,19500,797723,54599035,0,0,0
"42",2016,"CZ08",0,5189408,3089129,0,41607040,2803279,0,0,968454,9478,282461,8714585,0,0,0
"43",2016,"DE",0,0,0,172749415,126705222,9749480,0,0,158003816,0,0,0,0,0,0
"44",2016,"DE1",0,0,0,0,3983714,0,0,0,0,0,0,0,0,0,0
"45",2016,"DE11",0,0,0,9161636,32166324,3602805,4075791,0,13969906,0,0,0,0,0,0
"46",2016,"DE12",0,0,0,3893262,9482461,376065,1897333,283114,9945524,0,0,0,0,0,0
"47",2016,"DE13",0,0,0,2958645,8529160,264205,2833774,854662,5608859,0,0,0,0,0,0
